Year Month Day Hour Minutes in YYYY,MM,DD,HH24,MI format in Local time,Air Temperature in degrees C,Dew point temperature in degrees C,Relative humidity in percentage %,Wind speed in m/s,Wind direction in degrees true,Speed of maximum windgust in last 10 minutes in m/s
2016,5,31,4,30,12.9,11.8,93,0,0,0
2016,5,31,5,0,13,11.7,92,0,0,0
2016,5,31,5,30,12.8,11.7,93,0,0,0
2016,5,31,6,0,13,11.3,89,1.4,40,8
2016,5,31,6,30,12.4,10.9,91,1.4,90,8
2016,5,31,7,0,12.3,10.4,88,1.4,100,8
2016,5,31,7,30,13.7,10.9,83,0,0,0
2016,5,31,8,0,14.7,11.1,79,0,0,0
2016,5,31,8,30,15.6,8.7,63,1.4,360,8
2016,5,31,9,0,15.4,7.8,60,0.6,110,8
2016,5,31,9,30,16.3,8.7,61,1.1,50,8
2016,5,31,10,0,16,8.5,61,1.4,360,9
2016,5,31,10,30,16.2,8.1,59,1.4,360,9
2016,5,31,11,0,16.4,8.6,60,2.2,150,9
2016,5,31,11,30,16.4,8.3,59,2.5,170,15
2016,5,31,12,0,16.8,8.4,58,2.5,130,15
2016,5,31,12,30,16.3,8.2,59,3.1,130,17
2016,5,31,13,0,16.6,7.2,54,3.6,50,17
2016,5,31,13,30,16.5,7.5,55,3.1,140,13
2016,5,31,14,0,16.2,7.6,57,3.6,130,22
2016,5,31,14,30,16.1,8.2,59,6.7,150,30
2016,5,31,15,0,15.7,7.9,60,5,140,22
2016,5,31,15,30,14.8,9.1,69,4.7,130,21
2016,5,31,16,0,14.8,8.9,68,3.1,130,15
2016,5,31,16,30,14.9,9,68,3.1,160,13
2016,5,31,17,0,15.2,8.9,66,2.5,180,11
2016,5,31,17,30,15.1,9.3,68,2.2,180,9
2016,5,31,18,0,15,9.6,70,2.2,180,9
2016,5,31,18,30,15.1,9.3,68,2.5,160,11
2016,5,31,19,0,15.2,9.2,67,2.5,160,13
2016,5,31,19,30,15.2,9.2,67,3.6,180,17
2016,5,31,20,0,15.1,9.3,68,3.1,160,13
2016,5,31,20,30,14.9,9.5,70,3.1,160,15
2016,5,31,21,0,15,9.1,68,2.2,180,9
2016,5,31,21,30,14.7,9.7,72,3.1,110,13
2016,5,31,22,0,14.5,11.5,82,0.6,350,8
2016,5,31,22,30,14.4,10.4,77,2.5,250,11
2016,5,31,23,0,11.3,9.7,90,1.1,270,5
2016,5,31,23,30,11,9.8,92,1.4,250,8
2016,6,1,0,0,11.7,10.3,91,2.2,170,9
2016,6,1,0,30,11.9,10.3,90,0.6,250,5
2016,6,1,1,0,11.7,10.7,94,2.5,270,11
2016,6,1,1,30,11.7,10.7,94,1.1,240,9
2016,6,1,2,0,12.2,11.2,94,0,0,5
2016,6,1,2,30,12.6,11.7,94,0,0,0
2016,6,1,3,0,12.3,11.5,95,0,0,0
2016,6,1,3,30,12,11.2,95,2.2,20,9
2016,6,1,4,0,12.9,11.2,89,1.4,20,9
2016,6,1,4,30,13.9,10.7,81,1.1,30,5
2016,6,1,5,0,14.3,9.9,75,0,0,0
2016,6,1,5,30,14.6,10,74,0,0,0
2016,6,1,6,0,14.9,10.3,74,2.2,200,9
2016,6,1,6,30,13.9,10.5,80,1.4,190,8
2016,6,1,7,0,14.7,10.3,75,0,0,0
2016,6,1,7,30,14.8,10.6,76,1.1,340,8
2016,6,1,8,0,15.8,10.5,71,0,0,0
2016,6,1,8,30,16,11.2,73,0,0,0
2016,6,1,9,0,12,8.4,79,0,0,0
2016,6,1,9,30,14.4,10.6,78,1.1,210,9
2016,6,1,10,0,11.5,8.5,82,2.2,180,9
2016,6,1,10,30,13,9.7,80,2.5,190,11
2016,6,1,11,0,12.9,8.7,76,1.1,180,8
2016,6,1,11,30,11.5,9.1,85,2.5,180,11
2016,6,1,12,0,11.4,8.6,83,3.1,220,15
